Alias,IP,Puerto,Estado
Aeropuerto,172.16.1.70,8000,ONLINE
"Av - H - Colegios",172.16.1.6,8000,ONLINE
Av-G,172.16.1.5,8000,ONLINE
"Base Cono Norte",172.16.1.19,8000,ONLINE
"Caja Piura - Plaza Vea",172.16.1.33,8000,ONLINE
"Calle 01 Talara Alta",172.16.1.52,8000,ONLINE
"Clínica Tresa",172.16.1.7,8000,ONLINE
Cocobongo,172.16.1.9,8000,ONLINE
"Coliseo Los Pinos",172.16.1.47,8000,ONLINE
"Curacao - BCP",172.16.1.32,8000,ONLINE
Essalud,172.16.1.14,8000,ONLINE
"Grifo San Martín",172.16.1.42,8000,ONLINE
"Grifo Primax",172.16.1.35,8000,ONLINE
"Iglesia Señor de los Milagros",172.16.1.51,8000,ONLINE
"Ignacio Merino",172.16.1.2,8000,ONLINE
"La Parada",172.16.1.24,8000,ONLINE
"Mavila - Interbank",172.16.1.29,8000,ONLINE
"Mercado Acapulco",172.16.1.12,8000,ONLINE
Montero,172.16.1.26,8000,ONLINE
Morgue,172.16.1.25,8000,ONLINE
"Niño Héroe",172.16.1.23,8000,ONLINE
"Óvalo Punta Arenas",172.16.1.3,8000,ONLINE
"Palacio Municipal",172.16.1.27,8000,ONLINE
"Parcela 25",172.16.1.21,8000,ONLINE
"Parque 10",172.16.1.39,8000,ONLINE
"Parque 14 - 17",172.16.1.37,8000,ONLINE
"Parque 16",172.16.1.36,8000,ONLINE
"Pecata Av-B",172.16.1.38,8000,ONLINE
"Posta Cono Norte",172.16.1.20,8000,ONLINE
"Poste 3 La Parada",172.16.1.86,8000,ONLINE
"Poste 4 Mavila interior C Cívico",172.16.1.88,8000,ONLINE
"Poste 5 Primax Av. B",172.16.1.90,8000,ONLINE
"Poste 7 Aeropuerto Pileta",172.16.1.94,8000,ONLINE
"Poste 08 Toyota",172.16.1.98,8000,ONLINE
"Puente Yale",172.16.1.41,8000,ONLINE
"Salida Lobitos",172.16.1.22,8000,ONLINE
SENATI,172.16.1.43,8000,ONLINE
Toyota,172.16.1.44,8000,ONLINE
"Zona de Bancos",172.16.1.31,8000,ONLINE
